id_cliente,recencia,frequencia,valor_total,ticket_medio,tenure_dias,qt_devolucoes,valor_devolvido,R,F,M,segmento,loja,churn_proba,churn_previsto,faixa_risco,churn_real,conjunto
4B5613111C6E2A710C75621AC9500087,15,27,2849.82,101.78,419,0,0.0,4,4,5,Campeoes,2,0.0724254608154803,0,Baixo,0,treino
C039C8BD03D5518DC70BF3822255034E,11,18,1325.48,73.64,231,0,0.0,4,4,4,Campeoes,1,0.128445622811588,0,Baixo,0,teste
2498A495A7FE678A0F76F9F19FBB210C,0,86,11861.37,126.18,421,0,0.0,5,5,5,Campeoes,1,0.0040314677832115,0,Baixo,0,teste
8066DBD422ADF52FBBDCC693E19E3A50,6,131,7404.07,51.42,417,0,0.0,4,5,5,Campeoes,2,0.0035186383076864,0,Baixo,0,teste
B5BF1820C69F3BF092890F01AC01CE34,0,44,6381.87,130.24,410,0,0.0,5,5,5,Campeoes,2,0.0151294731895192,0,Baixo,0,teste
9BF285849820112CC35DE3803683FB2A,0,127,25453.12,195.79,423,0,0.0,5,5,5,Campeoes,1,0.0009542849628667,0,Baixo,0,teste
3158A73A98DAD5479583D8B4DA1A9447,3,35,2595.21,66.54,410,0,0.0,5,5,4,Campeoes,2,0.0307893571225758,0,Baixo,0,treino
DBF5F549CBFA0F070882FB545CEA739B,2,59,7922.02,118.24,414,0,0.0,5,5,5,Campeoes,1,0.0104280426138686,0,Baixo,0,treino
C918AF539D3378EA80B37B458BA323FD,1,31,2184.79,68.27,402,0,0.0,5,4,4,Campeoes,1,0.0561472481963526,0,Baixo,0,treino
50C923B98CC92D0115844213B2EC09E4,2,65,4238.54,53.65,355,0,0.0,5,5,5,Campeoes,1,0.0096887007013075,0,Baixo,0,teste
6AB81673B1A656148FA49D43D8E3CAE2,1,191,14679.62,69.24,422,0,0.0,5,5,5,Campeoes,1,0.0003103176611109,0,Baixo,0,teste
3B580453D9322F6288CE53D10469CA27,12,37,1974.61,45.92,383,0,0.0,4,5,4,Campeoes,2,0.0462313004835541,0,Baixo,0,treino
B87CC5DE718758110192B9B9D59FAF49,0,33,6697.03,196.97,421,0,0.0,5,4,5,Campeoes,1,0.0389566647155766,0,Baixo,0,treino
560CFB9D84ED478313D7EF4515DA9D31,1,104,5356.65,46.18,418,0,0.0,5,5,5,Campeoes,1,0.0034254356439318,0,Baixo,0,teste
